X,Y,OBJECTID,GlobalID,CreationDate,Creator,EditDate,Editor,STATION_ID,STATION_NAME,DATA_BEGIN_DATE,DATA_END_DATE,STATE,COUNTRY,LATITUDE,LONGITUDE,ELEVATION,ID_CAT,SNOW
-9832438.73965392,4633318.02923438,12670,a6ec0d5f-2e1d-4beb-a4eb-cd905da88154,2021/03/19 16:46:59.716+00,ncei_noaa,2021/03/19 16:46:59.716+00,ncei_noaa,GHCND:USC00112931,"FAIRFIELD RADIO WFIW, IL US",1895/07/07 05:00:00+00,2021/03/09 05:00:00+00,Illinois,United States,38.3805,-88.3263,131.1,1,
-9921880.61092159,4658207.83462649,15383,22a79e34-a2c4-4493-b211-e31413c4598a,2021/03/19 16:46:59.716+00,ncei_noaa,2021/03/19 16:46:59.716+00,ncei_noaa,GHCND:USC00111386,"CENTRALIA, IL US",1899/11/01 05:00:00+00,2021/03/16 04:00:00+00,Illinois,United States,38.55556,-89.12977,147.8,1,
-10022661.4855215,5038011.02195139,16161,68f71155-e2d4-4b75-bc88-7c696d4490e0,2021/03/19 16:47:30.285+00,ncei_noaa,2021/03/19 16:47:30.285+00,ncei_noaa,GHCND:USC00113335,"GALVA, IL US",1893/01/01 05:00:00+00,2021/02/28 05:00:00+00,Illinois,United States,41.1738,-90.0351,246.9,1,
-9771279.8114121,4722531.05754242,17177,163276d2-9559-44fe-9e9c-8fe690280e9b,2021/03/19 16:47:30.285+00,ncei_noaa,2021/03/19 16:47:30.285+00,ncei_noaa,GHCND:USC00117345,"ROBINSON, IL US",1895/12/01 05:00:00+00,2021/03/16 04:00:00+00,Illinois,United States,39.006,-87.7769,163.1,1,
-9927941.95719528,4444703.26343715,17637,d2e47595-88ea-4788-897d-95825f79f432,2021/03/19 16:47:30.285+00,ncei_noaa,2021/03/19 16:47:30.285+00,ncei_noaa,GHCND:USW00093809,"CAIRO 3 N, IL US",1908/01/01 05:00:00+00,2020/11/19 05:00:00+00,Illinois,United States,37.04014,-89.18422,98.1,1,
-9813169.3357976,4866857.82057211,21111,bc7e2e3f-6f69-4647-9d2c-b146799f481e,2021/03/19 16:48:01.887+00,ncei_noaa,2021/03/19 16:48:01.887+00,ncei_noaa,GHCND:USC00116769,"PHILO, IL US",1893/01/01 05:00:00+00,2021/03/13 05:00:00+00,Illinois,United States,40.0063,-88.1532,219.5,1,
-9947843.65575931,4668083.25615293,21228,54eb5265-889b-420f-a4d8-0ea365e43fa0,2021/03/19 16:48:01.887+00,ncei_noaa,2021/03/19 16:48:01.887+00,ncei_noaa,GHCND:USC00111290,"CARLYLE RESERVOIR, IL US",1962/08/01 04:00:00+00,2021/03/16 04:00:00+00,Illinois,United States,38.6249,-89.363,152.7,1,
-10041684.8733031,4770839.66465588,21471,1e46e5ba-8c2c-4b8d-89c1-178bc688ae43,2021/03/19 16:48:01.887+00,ncei_noaa,2021/03/19 16:48:01.887+00,ncei_noaa,GHCND:USC00113666,"GREENFIELD, IL US",1948/07/01 04:00:00+00,2020/02/25 05:00:00+00,Illinois,United States,39.34242,-90.20599,164.6,1,
-9810987.47377806,4536808.54151647,22423,4bcc606b-c56b-4cc4-b907-a2b33a8dfa64,2021/03/19 16:48:01.887+00,ncei_noaa,2021/03/19 16:48:01.887+00,ncei_noaa,GHCND:USC00117859,"SHAWNEETOWN OLD TOWN, IL US",1892/01/06 05:00:00+00,2018/11/23 05:00:00+00,Illinois,United States,37.6977,-88.1336,106.7,1,
-9868806.81729608,4456893.57500495,26162,4a981106-e848-4b70-aa12-a80d089a31dd,2021/03/19 16:48:31.136+00,ncei_noaa,2021/03/19 16:48:31.136+00,ncei_noaa,GHCND:USC00110993,"BROOKPORT DAM 52, IL US",1928/11/01 05:00:00+00,2018/11/08 05:00:00+00,Illinois,United States,37.1275,-88.653,100.6,1,
